household_id,avg_monthly_consumption,median_monthly_consumption,sd_monthly_consumption,n_months_recorded,n_valid_months,n_zero_months,household_size,average_age,median_age,youngest_age,oldest_age,average_hours_at_home,employed_members,male_members,female_members,head_gender,head_ethnicity,head_religion,head_marital_status,head_education,head_occupation,head_employment_status,total_appliances,total_weekly_hours,refrigerator,electric_iron_including_electric_steam_iron,microwave,electric_cook_tops_induction_cookers_infra_red_cookers_hot_plates,washing_machine,electric_water_heater_to_heat_water_for_drinking_purposes,electric_oven,air_fryer,electric_water_pump,geyser_hot_water_systems_for_bathrooms_which_operate_from_electricity,floor_area,no_of_electricity_meters,own_the_house_or_living_on_rent,type_of_house,socio_economic_class,total_monthly_expenditure_of_last_month,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,type_of_electricity_meter,missing_appliance_survey,consumption_outlier,usage_intensity_pc1
ID2103,58.12,58,8.95507305013942,25,25,0,6,24.333333333333332,17.5,15,44,157.5,1,3,3,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 2,Plant and machine operator and assembler,Private sector employee,4,1.49,0,1,0,0,0,0,0,0,0,0,980,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,35000,Brick,Tile,Smart meter,FALSE,FALSE,-2.166088460972181
ID2104,54.4,54,6.390096504226938,25,25,0,3,46,58,22,58,134.33333333333334,1,1,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Service worker and shop and market sales worker,Own account worker,10,198,1,1,0,0,0,1,0,0,0,0,1100,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,30000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-0.6639554065048444
ID2105,103.8,106,16.708281379802852,25,25,0,3,38,31,23,60,97,1,2,1,Female,Sinhala,Buddhism,Widowed,Passed Grade 1,NA,NA,4,168,1,0,0,0,0,0,0,0,0,0,450,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC B,35000,Brick,Concrete,Smart meter,FALSE,FALSE,-1.5002812035036697
ID2106,129.6,147,47.26873526268006,25,25,0,5,22.8,14,7,46,124.8,0,4,1,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Passed Degree / Diploma,NA,NA,12,245.33,1,1,0,0,1,0,0,0,0,0,300,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,90000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,0.04932902276584286
ID2107,126.12,124,15.095032295427526,25,25,0,2,36.5,36.5,35,38,105,2,1,1,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,No occupation,Private sector employee,9,181.58,1,1,0,0,1,0,0,0,0,0,900,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,40000,Cement Block,Tile,Non smart meter,FALSE,FALSE,-0.8042883293930911
ID2108,175.72,175,11.759818592705132,25,25,0,4,41.25,41,24,59,97.75,3,3,1,Female,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Government employee,18,128.6,1,1,0,0,1,0,0,0,0,1,1800,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC C,90000,Brick,Concrete,Smart meter,FALSE,FALSE,0.5160149906410478
ID2109,62.76,63,14.457639272486132,25,25,0,3,50.333333333333336,60,30,61,120.33333333333331,3,2,1,Male,Sinhala,Roman Catholicism,Currently married (customary),Passed Grade 10,Service worker and shop and market sales worker,Private sector employee,7,175.33,1,0,0,0,0,0,0,0,0,0,600,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,60000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-0.9000597420761907
ID2110,78.92,79,4.898299024491393,25,25,0,5,28,31,4,62,153.2,1,3,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),Service worker and shop and market sales worker,Private sector employee,8,188,1,1,0,0,0,0,0,0,0,0,300,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,30000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-1.2090033517076566
ID2111,83.92,79,45.24923572098576,25,25,0,4,22,25,3,35,49.5,1,1,3,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(O/L),No occupation,Private sector employee,12,170.01,1,1,0,0,1,0,1,0,0,0,800,1,"No, I am living on rent and the rent is paid by me or a household member.",Attached house / Annex,SEC B,80000,Brick,Asbestos,Smart meter,FALSE,FALSE,-0.24930738172025096
ID2112,157,196,147.49124267788466,25,25,9,5,19.6,14,3,36,139,0,2,3,Male,Sinhala,Roman Catholicism,Currently married (customary),Passed G.C.E.(O/L),NA,NA,14,221.83,1,1,0,0,1,0,0,0,0,0,1300,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,150000,Brick,Concrete,Non smart meter,FALSE,FALSE,1.1494403924306869
