term,estimate,std.error,statistic,p.value,conf.low,conf.high
socio_economic_classSEC C,-0.053616866930376816,0.014644285353142713,-3.6612825848050314,0.00025112421677415627,-0.08231959172750851,-0.02491414213324512
socio_economic_classSEC D,-0.08697349835930568,0.018000179461288113,-4.831812846441574,1.355562261693995e-6,-0.12225375853707252,-0.05169323818153885
socio_economic_classSEC E,-0.15029347203210744,0.02323429200412583,-6.468605628500282,9.950406836619297e-11,-0.1958325661680671,-0.10475437789614779
type_of_houseCondominium/ Luxury apartments,-1.5265202588720286,0.09524332979036812,-16.027581797401673,1.0181349350212553e-57,-1.7131967007612683,-1.3398438169827889
type_of_houseFlat,-0.13015909594842856,0.07562749304569596,-1.7210552764162534,0.0852448264116349,-0.27838859760326756,0.018070405706410442
type_of_houseLine room/row house,-0.026324779742472368,0.0986625650758836,-0.2668162916930589,0.7896113271770471,-0.21970290539777804,0.16705334591283327
type_of_houseOther,0.24266611841939337,0.17424195205843213,1.3926962798144913,0.16371569081615403,-0.09884722125169634,0.5841794580904831
type_of_houseSingle House - Double Floor,0.06008048455308972,0.07163717531156799,0.8386774644838336,0.40165294122480244,-0.0803280146414817,0.20048898374766116
type_of_houseSingle House - More than 2 floors,0.1946297985458891,0.07447716789794212,2.613281412802848,0.008969492809825242,0.04865492832897908,0.34060466876279916
type_of_houseSingle House - Single Floor,-0.028899969668808312,0.0716395965310642,-0.40340776704788905,0.6866493983160611,-0.16931321444127567,0.11151327510365905
type_of_houseSlum / Shanty,-0.29093892620564016,0.10000200458562965,-2.909330942026419,0.003623072131177022,-0.4869423464863606,-0.09493550592491976
type_of_houseTwin houses,0.052357546841212896,0.1042861880416335,0.5020563875660172,0.6156292982445566,-0.15204285121976596,0.2567579449021917
"housing_tenureNo, I am living on rent and the rent is paid by the employer.",0.15107232954128702,0.11824050103015123,1.2776699035025545,0.20136970831296686,-0.08067845099202667,0.3828231100746007
"housing_tenureNo, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",0.33676305493297365,0.033727328422450235,9.984871932779916,1.8348914643841796e-23,0.2706576627948509,0.4028684470710964
"housing_tenureYes, I or a household member owns it.",0.15356101256417462,0.011365621569524854,13.511008757842562,1.5026564379985547e-41,0.13128445210447237,0.17583757302387687
type_of_electricity_meterSmart meter,0.10717790130566664,0.007466167332699995,14.35514321200029,1.1372908462634101e-46,0.09254425131373764,0.12181155129759563
missing_head_recordTRUE,-0.12659951551865067,0.03401058658556018,-3.722356131675801,1.975133373345313e-4,-0.1932600922155434,-0.05993893882175794
missing_appliance_surveyTRUE,-2.146179183423305,0.0802690995273154,-26.737302349990422,9.124910913500552e-157,-2.303506210170409,-1.988852156676201
missing_any_appliance_hoursTRUE,0.12314272998486943,0.029887645752749836,4.12018835486698,3.789595864545188e-5,0.0645630963470121,0.18172236362272676
